"Timestamp","1. Country of Residence ","2. Age Range ","3. Gender ","4. Highest Educational Level ","5. Occupation / Professional Role","6. Sector of Work","7. Do you observe visible plastic pollution (macroplastics) in your community? ","8. In what environmental settings do you most often encounter plastic waste? (Select all that apply) ","9. Are you aware of microplastics as an environmental or health issue? ","10. From your perspective, which ecosystems are most affected by plastic pollution in your area? (Select all that apply) ","11. How concerned are you about the environmental and health impacts of microplastics?","12. How knowledgeable are you about the causes and effects of microplastic pollution? ","13. What sources of information influence your understanding of microplastics? (Select all that apply) ","14. Do you believe microplastics affect human health?","15. What specific health effects have you heard about (if any)? (Open-ended) ","16. Have you seen or heard media stories on microplastics or plastic pollution in the past 6 months? ","17. Which platforms most effectively communicate environmental issues in your country? (Rank top 3) ","18. What messages do you remember most from media coverage? (Select all that apply) ","19. To what extent has media coverage influenced your behavior or concern?","20. Have you heard of the circular economy concept?","21. Which actions do you associate with a circular economy? (Select all that apply)","22. Which sectors in your country are actively working toward circular economy practices? (Select all that apply)","23. What are the biggest challenges to a circular economy in your area? (Open-ended) ","24. Which measures do you support to address plastic pollution in your country? (Choose up to 3) ","25.  What actions are you personally taking to reduce plastic waste? (Open-ended)","26. What would motivate you (or others) to take more action?","27. What further actions should be taken to tackle plastic and microplastic pollution? (Open-ended) ","28. Any other suggestions, recommendations, or experiences you’d like to share? (Optional) "
"2025/05/22 6:59:38 PM GMT+4","Kenya","35-44","Male","Bachelor’s degree","Informal sector worker","Academic/Research","Occasionally","Markets or open-air areas","Yes","Urban areas","Extremely concerned","Somewhat knowledgeable","Scientific publications","Not sure","","Not sure","TV","Climate and environmental damage","Moderately","No","Reusing and repairing products","Private companies","","Ban on single-use plastics","Collecting litter in my area of residency ","Better waste facilities","Burn the production of plastic bags",""
"2025/05/22 7:03:02 PM GMT+4","Côte d'Ivoire","45-54","Male","Master’s degree or higher","Researcher / Academic","Academic/Research","Frequently","Roadsides;Rivers/Lakes;Urban dumpsites;Markets or open-air areas","Yes","Marine/coastal areas;Urban areas","Extremely concerned","Somewhat knowledgeable","Television;Radio;Scientific publications;NGOs;School/University;Community leaders","Yes","","Yes","TV;Newspapers","Threats to marine life;Food chain contamination","Very significantly","Yes","Reusing and repairing products;Industrial recycling","Startups;Local communities;NGOs","","Ban on single-use plastics;National awareness campaigns;Strict enforcement of waste laws;Public-private partnerships","","Health education","",""
"2025/05/22 7:05:07 PM GMT+4","Ethiopia","25-34","Male","Master’s degree or higher","Health professional","Private Sector","Frequently","Roadsides;Rivers/Lakes;Beaches;Markets or open-air areas","Yes","Freshwater ecosystems;Agricultural land","Moderately concerned","Very knowledgeable","Social Media;Scientific publications;School/University","Yes","Upper air way diseases ","No","Newspapers;Public forums","Microplastics in drinking water;Food chain contamination;Climate and environmental damage;Government policy changes","Moderately","Yes","Reusing and repairing products;Industrial recycling;Upcycling waste materials","Government;Private companies;Startups;NGOs","Lack of awareness and support ","Ban on single-use plastics;Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Incentives for plastic alternatives;Strict enforcement of waste laws;Public-private partnerships;Community-based waste management","Recycling the plastic waste ","Health education","Government control and legislation on plastic wastes","Community Based programs and projects are needed to create awareness on plastic waste products."
"2025/05/22 7:12:05 PM GMT+4","Rwanda","35-44","Male","Diploma or equivalent","Business owner / Entrepreneur","Private Sector","Occasionally","Roadsides;Rivers/Lakes;Farmlands;Beaches;Urban dumpsites;Markets or open-air areas;","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Forests;Urban areas;","Moderately concerned","Somewhat knowledgeable","Television;Radio;Social Media;Community leaders;Religious institutions","Yes","Cause deasese","Yes","TV;Radio;Newspapers","Threats to marine life;Microplastics in drinking water;Food chain contamination;Climate and environmental damage","Moderately","No","Redesigning packaging;Composting and biodegradables;Industrial recycling","Government;Private companies;Startups;Local communities;NGOs","Low capital ","Ban on single-use plastics;Increased recycling infrastructure;National awareness campaigns","Not use them","Community leadership","Banning them","Communicate to the companies which make plastic to reduce"
"2025/05/22 7:15:10 PM GMT+4","Kenya","55-64","Male","Master’s degree or higher","Educator / Teacher","Academic/Research","Frequently","Roadsides;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Urban areas","Extremely concerned","Very knowledgeable","Television;Scientific publications;School/University","Yes","Microplastics in food chains","Yes","TV;Newspapers","Threats to marine life;Microplastics in drinking water;Food chain contamination;Climate and environmental damage;Call to action/cleanups;Government policy changes","Moderately","Yes","Reusing and repairing products;Composting and biodegradables;Industrial recycling","Private companies;Startups","Lack of awareness ","Ban on single-use plastics;Increased recycling infrastructure;Incentives for plastic alternatives;Strict enforcement of waste laws","I avoid using plastics","Health education","Complete ban the use of plastics",""
"2025/05/22 7:19:12 PM GMT+4","Kenya","45-54","Male","Bachelor’s degree","Informal sector worker","Public Sector","Never","Urban dumpsites","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land","Extremely concerned","Somewhat knowledgeable","Television;Radio;Social Media;Scientific publications;NGOs","Yes","Cancerous ","No","TV;Radio;Facebook;TikTok;Newspapers;YouTube;Public forums;Religious institutions","Threats to marine life;Microplastics in drinking water;Food chain contamination;Climate and environmental damage","Very significantly","Yes","Industrial recycling;Upcycling waste materials;Government incentives for recyclers","Private companies;Local communities;Schools/universities;NGOs","Market to sell reclining products. ","Ban on single-use plastics;Incentives for plastic alternatives;Community-based waste management","Plastic bag ban strictly adhered. ","Health education","Zero tolerance to plastic micro plastic ","The idea of zero tolerance to plastic micro plastic has worked in Kenya very well. "
"2025/05/22 7:20:08 PM GMT+4","Togo","25-34","Male","Master’s degree or higher","Government employee","Public Sector","Frequently","Markets or open-air areas","No","Freshwater ecosystems;Urban areas","Moderately concerned","Somewhat knowledgeable","Television;Social Media;Scientific publications;School/University;Community leaders","Yes","Cardiovascular deases","No","WhatsApp;Facebook;Public forums","Climate and environmental damage;Government policy changes","Moderately","No","Composting and biodegradables;Industrial recycling;Government incentives for recyclers","Government","Mean","National awareness campaigns;Public-private partnerships;Community-based waste management","national campagns","Health education","sensibization of population","not yet"
"2025/05/22 7:34:26 PM GMT+4","Kenya","35-44","Male","Diploma or equivalent","NGO / Civil society worker","NGO/Civil Society","Frequently","Roadsides;Rivers/Lakes;Beaches;Urban dumpsites;Markets or open-air areas","Somewhat","Marine/coastal areas;Urban areas","Extremely concerned","Somewhat knowledgeable","Television;Social Media;NGOs","Yes","Throat cancer ","Yes","TV;Radio;WhatsApp;Facebook;TikTok;YouTube;Religious institutions","Threats to marine life;Food chain contamination;Climate and environmental damage;Call to action/cleanups","Very significantly","Yes","Reusing and repairing products;Industrial recycling","Private companies;Startups;Schools/universities;NGOs","Public awareness","Ban on single-use plastics;Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Strict enforcement of waste laws;Public-private partnerships;Community-based waste management","Participate in public forums and cleaning initiatives. ","Financial incentives","NGO's funding and public awareness of the damages it causes .","Strict measures against the use of plastics and institutions to take up measures to find plastics alternatives. "
"2025/05/22 7:39:43 PM GMT+4","Kenya","25-34","Male","Master’s degree or higher","Student","Student","Frequently","Roadsides;Urban dumpsites;Markets or open-air areas","Somewhat","Urban areas","Slightly concerned","Heard about it but unsure","Social Media;School/University","Yes","","Yes","TV","Call to action/cleanups","Moderately","No","Composting and biodegradables;Industrial recycling","Government;Private companies;Local communities;Schools/universities","","Ban on single-use plastics;Increased recycling infrastructure;Integration into school curricula;Community-based waste management","","Health education","",""
"2025/05/22 7:40:23 PM GMT+4","Uganda","25-34","Female","Bachelor’s degree","Educator / Teacher","Academic/Research","Frequently","Beaches","Somewhat","Agricultural land","Slightly concerned","Heard about it but unsure","NGOs","Yes","","No","YouTube","Government policy changes","Slightly","Yes","Composting and biodegradables","Local communities","","National awareness campaigns","","Health education","",""
