"Timestamp","1. Pays de résidence","2. Tranche d’âge","3. Genre","4. Niveau d’éducation le plus élevé","5.  Profession / Rôle professionnel ","6.  Secteur d’activité ","7. Observez-vous une pollution plastique visible (macroplastiques) dans votre communauté ?","8. Dans quels environnements rencontrez-vous le plus souvent des déchets plastiques ? (Cochez tout ce qui s’applique)","9. Êtes-vous conscient(e) des microplastiques en tant que problème environnemental ou sanitaire ?","10. De votre point de vue, quels écosystèmes sont les plus affectés par la pollution plastique dans votre région ? (Cochez tout ce qui s’applique)","11.  Dans quelle mesure êtes-vous préoccupé(e) par les impacts environnementaux et sanitaires des microplastiques ? ","12. Quel est votre niveau de connaissance sur les causes et les effets de la pollution par les microplastiques ?","13. Quelles sources d’information influencent votre compréhension des microplastiques ? (Cochez tout ce qui s’applique)","14. Pensez-vous que les microplastiques affectent la santé humaine ?","15. Quels effets spécifiques sur la santé avez-vous entendus (le cas échéant) ?","16. Avez-vous vu ou entendu des reportages médiatiques sur les microplastiques ou la pollution plastique au cours des six derniers mois ?","17. Quelles plateformes communiquent le mieux les enjeux environnementaux dans votre pays ? (Classez vos 3 préférées)","18. Quels messages retenez-vous le plus des médias ? (Cochez tout ce qui s’applique)","19. Dans quelle mesure la couverture médiatique a-t-elle influencé votre comportement ou votre préoccupation ?","20. Avez-vous déjà entendu parler du concept d’économie circulaire ?","21. Quelles actions associez-vous à l’économie circulaire ? (Cochez tout ce qui s’applique)","22. Quels secteurs de votre pays travaillent activement à la mise en œuvre de pratiques d’économie circulaire ? (Cochez tout ce qui s’applique)","23. Quels sont les plus grands défis à l’économie circulaire dans votre région ?","24.  Quelles mesures soutenez-vous pour lutter contre la pollution plastique dans votre pays ? (Choisissez jusqu’à 3) ","25.  Quelles actions entreprenez-vous personnellement pour réduire les déchets plastiques ?","26. Qu’est-ce qui vous motiverait (ou motiverait d’autres personnes) à agir davantage ?","27. Quelles actions supplémentaires devraient être entreprises pour lutter contre la pollution par les plastiques et les microplastiques ?","28. Avez-vous d’autres suggestions, recommandations ou expériences que vous souhaiteriez partager ? (Optionnel)"
"2025/08/05 1:52:18 PM GMT+4","République Démocratique du Congo","35-44","Femme","Master ou diplôme supérieur","Chercheur(e) / Universitaire","Secteur public","Fréquemment","Bords de routes;Rivières / Lacs;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Zones urbaines","Modérément préoccupé(e)","J’en ai entendu parler mais je ne suis pas sûr(e)","Publications scientifiques;École / Université","Oui","Troubles endocriniens et le cancer","Non","Télévision;WhatsApp;Facebook","Contamination de la chaîne alimentaire","Pas du tout","Oui","Réutilisation et réparation des produits;Compostage et matériaux biodégradables;Recyclage industriel","Entreprises privées","","Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires;Application stricte des lois sur les déchets;Gestion des déchets communautaire","Reduire l'utilisation du plastiques aux besoins indispensables","Meilleures infrastructures de gestion des déchets","Reglémentations à l'égard des fabricants:  planification et application des politiques visant à mitiger l'impact evironnemental et social",""
"2025/08/05 2:26:31 PM GMT+4","République Démocratique du Congo","25-34","Homme","Licence (Baccalauréat)","Médecin ","Secteur public","Fréquemment","Bords de routes;Décharges urbaines;Marchés ou espaces en plein air","Oui","Zones marines / côtières;Zones urbaines","Extrêmement préoccupé(e)","Assez informé(e)","Télévision;Radio;Réseaux sociaux;Publications scientifiques;École / Université","Oui","Cancer, mutation génétique","Oui","Télévision;Radio;Facebook;TikTok","Menaces pour la vie marine;Microplastiques dans l’eau potable;Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux;Appels à l’action/nettoyages;Changements de politiques gouvernementales","Modérément","Oui","Compostage et matériaux biodégradables;Recyclage industriel;Surcyclage des déchets","Gouvernement;Startups","Le financement, la mentalité des populations","Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires;Application stricte des lois sur les déchets;Gestion des déchets communautaire","La sensibilisation ","Incitations financières","",""
"2025/08/05 2:43:33 PM GMT+4","République Démocratique du Congo","45-54","Femme","Licence (Baccalauréat)","Professionnel(le) de santé","Secteur public","Fréquemment","Bords de routes;Rivières / Lacs;Terres agricoles;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Terres agricoles;Zones urbaines","Extrêmement préoccupé(e)","Très bien informé(e)","Publications scientifiques;Leaders communautaires","Oui","","Non","Télévision;Radio","Microplastiques dans l’eau potable;Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux","Très fortement","Non","Refonte des emballages;Recyclage industriel;Surcyclage des déchets","","","Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires","J'ai l'habitude de brûler les déchets et ne jamais les jeter en cours de route après usage, je les amène chez moi et je les place dans ma poubelle jusqu'au jour de l'évacuation.","Éducation à la santé","Interdiction formelle et le remplacement  des plastiques par ce qui est biodégradable ",""
"2025/08/05 2:47:26 PM GMT+4","République Démocratique du Congo","45-54","Homme","Master ou diplôme supérieur","Chercheur(e) / Universitaire","Secteur public","Fréquemment","Bords de routes;Rivières / Lacs;Terres agricoles;Plages;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Zones urbaines","Extrêmement préoccupé(e)","Très bien informé(e)","Télévision;Radio;Réseaux sociaux;Publications scientifiques","Oui","","Oui","Télévision;Radio;WhatsApp;Facebook;TikTok;YouTube","Menaces pour la vie marine;Microplastiques dans l’eau potable;Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux;Appels à l’action/nettoyages;Changements de politiques gouvernementales","Modérément","Oui","Réutilisation et réparation des produits;Refonte des emballages;Compostage et matériaux biodégradables;Recyclage industriel;Surcyclage des déchets","Entreprises privées;Communautés locales;ONG","","Interdiction des plastiques à usage unique;Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires;Incitations pour les alternatives au plastique;Application stricte des lois sur les déchets;Partenariats public-privé;Gestion des déchets communautaire","","Incitations financières","",""
"2025/08/05 2:57:01 PM GMT+4","République Démocratique du Congo","35-44","Femme","Master ou diplôme supérieur","Résidente en médecine d’urgence et de catastrophe ","Résidente","Rarement","Décharges urbaines","Oui","Zones urbaines","Modérément préoccupé(e)","Très bien informé(e)","Leaders communautaires","Oui","Le cas des maladies infectieuses par l’infestation des bactéries, dès broncho-pneumopathie les cas de réutilisation ou recyclage inapproprié par la population ","Non","Journaux","Contamination de la chaîne alimentaire","Modérément","Oui","Recyclage industriel","Gouvernement","Je ne sais pas grand chose ","Campagnes nationales de sensibilisation","Aucune ","Leadership communautaire","La sensibilisation ","L’information est l’art idéal "
"2025/08/05 3:06:55 PM GMT+4","République Démocratique du Congo","45-54","Homme","Licence (Baccalauréat)","Professionnel(le) de santé","Secteur public","Fréquemment","Bords de routes;Rivières / Lacs;Terres agricoles;Plages;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Zones marines / côtières;Terres agricoles;Forêts;Zones urbaines","Extrêmement préoccupé(e)","Très bien informé(e)","Télévision;Radio;Réseaux sociaux;Publications scientifiques;ONG;École / Université;Leaders communautaires","Oui","les inondations et bouchage des caniveaux et rigoles, impact sur la santé humaine et environnementale","Oui","Radio;WhatsApp;Forums publics","Menaces pour la vie marine;Microplastiques dans l’eau potable;Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux;Appels à l’action/nettoyages;Changements de politiques gouvernementales","Très fortement","Non","Réutilisation et réparation des produits","Gouvernement;Entreprises privées;ONG","les inondations, pollution et dévastation de l'environnement avec l'impact grave sur la santé ","Interdiction des plastiques à usage unique;Renforcement des infrastructures de recyclage;Gestion des déchets communautaire","une gestion correct de déchets plastiques ","Éducation à la santé","bonne gestion des déchets ","non"
"2025/08/05 3:18:33 PM GMT+4","République Démocratique du Congo","45-54","Femme","Master ou diplôme supérieur","Chercheur(e) / Universitaire","Academic/Research","Fréquemment","Bords de routes;Rivières / Lacs;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Zones marines / côtières;Terres agricoles;Forêts;Zones urbaines","Extrêmement préoccupé(e)","Assez informé(e)","Publications scientifiques","Oui","Maladie digestive ","Non","Télévision;Radio","Dégâts climatiques et environnementaux","Très fortement","Oui","Réutilisation et réparation des produits","ONG","Problème d'infrastructure","Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Incitations pour les alternatives au plastique;Gestion des déchets communautaire","Tri des déchets pour permettre leur recyclage","Éducation à la santé","Bonne gestion des déchets solides (tri de déchets, disposer de poubelles à usage public)","Non"
"2025/08/05 3:19:47 PM GMT+4","République Démocratique du Congo","35-44","Femme","Licence (Baccalauréat)","Professionnel(le) de santé","Secteur public","Fréquemment","Bords de routes;Rivières / Lacs;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Zones marines / côtières;Terres agricoles;Zones urbaines","Extrêmement préoccupé(e)","Assez informé(e)","Télévision;Réseaux sociaux;Publications scientifiques;École / Université;Leaders communautaires;Institutions religieuses","Oui","Maladie diarrhéique provoquer par l'inondation causé par le couchage de caniveau et la malnutrition cree par la pollution de terre ","Oui","Télévision;WhatsApp;TikTok","Microplastiques dans l’eau potable;Contamination de la chaîne alimentaire;Appels à l’action/nettoyages;Changements de politiques gouvernementales","Modérément","Non","Réutilisation et réparation des produits;Refonte des emballages;Recyclage industriel","Communautés locales","Manque d'encouragement ou motivation a la communauté locale","Interdiction des plastiques à usage unique;Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires;Incitations pour les alternatives au plastique;Application stricte des lois sur les déchets;Partenariats public-privé;Gestion des déchets communautaire","Changement de comportement, je dois travailler d'abord ma conscience ","Leadership communautaire","Motivation ","Nous devons sensibiliser la population à changer nos mentalité, comportement..."
"2025/08/05 3:51:58 PM GMT+4","République Démocratique du Congo","55-64","Homme","Licence (Baccalauréat)","Travailleur(euse) d’ONG / de la société civile","ONG / Société civile","Rarement","Bords de routes;Rivières / Lacs","Non","Écosystèmes d’eau douce;Zones urbaines","Je ne sais pas assez pour répondre","J’en ai entendu parler mais je ne suis pas sûr(e)","ONG;Leaders communautaires;Institutions religieuses","Oui","Non","Non","Télévision;Radio;WhatsApp","Menaces pour la vie marine;Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux","Modérément","Non","Réutilisation et réparation des produits;Refonte des emballages;Incitations gouvernementales pour les recycleurs","Entreprises privées;ONG","Les routes","Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Gestion des déchets communautaire","Les brûlés","Leadership communautaire","Mettre les bouteilles dans un emballage ","La virgalisation publique."
"2025/08/05 4:04:09 PM GMT+4","République Démocratique du Congo","45-54","Femme","Licence (Baccalauréat)","Professionnel(le) de santé","Secteur privé","Fréquemment","Bords de routes;Rivières / Lacs;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Zones urbaines","Extrêmement préoccupé(e)","Assez informé(e)","Publications scientifiques","Pas sûr(e)","","Oui","Télévision;Radio;YouTube","Menaces pour la vie marine;Dégâts climatiques et environnementaux;Appels à l’action/nettoyages","Légèrement","Non","Réutilisation et réparation des produits;Refonte des emballages;Compostage et matériaux biodégradables;Recyclage industriel;Surcyclage des déchets;Incitations gouvernementales pour les recycleurs","Je ne sais pas","Le tri des déchets pour un recyclage adapté ","Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Incitations pour les alternatives au plastique","","Meilleures infrastructures de gestion des déchets","Fabriquer moins de produits d'emballage en plastique ","Une forte sensibilisation et même dans les écoles "
